poi_id,weight,infra_distance,observed_distance,trip_mode,tracker_id,journey_distance
148,0.00367647058823529412,11580,11600,FOOT,20152603,147900
100,0.00404858299595141700,1020,1000,FOOT,20226614,54400
230,0.00342465753424657534,960,960,FOOT,20138303,165760
158,0.00297619047619047619,370,370,FOOT,10026054,84970
158,0.00297619047619047619,370,370,FOOT,10026054,84970
18,0.00289017341040462428,820,820,FOOT,20271385,37770
187,0.00400000000000000000,990,990,FOOT,20088242,73810
59,0.00294117647058823529,4370,4400,BIKE,10065613,202930
178,0.00294117647058823529,4370,4400,BIKE,10065613,202930
230,0.01190476190476190476,258380,258400,TRAIN,10026514,264370
152,0.00534759358288770053,2160,2200,FOOT,20228733,26000
31,0.05263157894736842105,13250,13200,BUS,20267661,31800
152,0.00460829493087557604,1540,1500,FOOT,10040843,56520
163,0.00943396226415094340,2890,2900,FOOT,10041103,35100
129,0.01265822784810126582,1260,1300,FOOT,20119185,67880
129,0.01265822784810126582,2150,2200,FOOT,20119185,67880
178,0.00416666666666666667,1070,1100,FOOT,20093615,50700
178,0.00632911392405063291,1150,1200,FOOT,20289672,109260
230,0.01000000000000000000,720,720,FOOT,10035299,31420
31,0.00757575757575757576,12950,13000,BUS,20251464,83250
246,0.00847457627118644068,940,940,FOOT,10023255,24840
129,0.00847457627118644068,940,940,FOOT,10023255,24840
41,0.00277008310249307479,470,470,FOOT,20237322,20950
231,0.00306748466257668712,1140,1100,FOOT,10040350,23100
230,0.01162790697674418605,3210,3200,BIKE,20264864,58570
178,0.00413223140495867769,1080,1100,TRAM,20275061,45100
254,0.00584795321637426901,15600,15600,CAR,10015297,80920
18,0.00714285714285714286,2680,2700,TRAM,20189281,119850
230,0.00309597523219814241,1390,1400,FOOT,20227502,112610
81,0.00505050505050505051,5390,5400,CAR,10044297,50160
152,0.00505050505050505051,2140,2100,FOOT,10044297,50160
81,0.00505050505050505051,2140,2100,FOOT,10044297,50160
152,0.00505050505050505051,7120,7100,METRO,10044297,43280
184,0.00448430493273542601,1540,1500,BIKE,20224345,25900
246,0.00709219858156028369,1020,1000,FOOT,20201852,57270
129,0.00709219858156028369,1020,1000,FOOT,20201852,57270
129,0.00275482093663911846,550,550,FOOT,20252234,74030
230,0.00781250000000000000,104670,104700,TRAIN,20278677,172800
31,0.00781250000000000000,1600,1600,FOOT,20241929,83200
66,0.00781250000000000000,1600,1600,FOOT,20241929,83200
59,0.01449275362318840580,2440,2400,FOOT,20208106,54060
178,0.01449275362318840580,2440,2400,FOOT,20208106,54060
150,0.00518134715025906736,390,390,FOOT,20264296,28690
253,0.00321543408360128617,3400,3400,BIKE,10032198,105850
184,0.00877192982456140351,270,270,FOOT,20219749,29370
141,0.00284090909090909091,1870,1900,FOOT,20149021,84200
81,0.01785714285714285714,2320,2300,BIKE,20241727,172930
184,0.00381679389312977099,510,510,FOOT,20057080,118500
184,0.00381679389312977099,510,510,FOOT,20057080,118500
41,0.03225806451612903226,2670,2700,BIKE,10016435,51500
163,0.03225806451612903226,2670,2700,BIKE,10016435,51500
31,0.01960784313725490196,1630,1600,FOOT,20035880,179500
31,0.01960784313725490196,1630,1600,FOOT,20035880,179500
178,0.00347222222222222222,820,820,FOOT,10049723,52210
178,0.00343642611683848797,930,930,FOOT,10078538,34120
163,0.00401606425702811245,750,750,FOOT,20118877,37320
146,0.00315457413249211356,470,470,FOOT,10013185,233180
146,0.00315457413249211356,470,470,FOOT,10013185,233180
152,0.00460829493087557604,970,970,FOOT,10040843,50650
178,0.00369003690036900369,920,920,FOOT,20119146,19820
234,0.00460829493087557604,1220,1200,FOOT,20110721,25470
31,0.00641025641025641026,610,610,FOOT,10081120,118110
163,0.00420168067226890756,3130,3100,TRAM,20211535,46850
230,0.00436681222707423581,450,450,FOOT,10086660,265380
184,0.00510204081632653061,2410,2400,FOOT,10067298,50100
178,0.00343642611683848797,390,390,BIKE,10078538,34390
230,0.00348432055749128920,27650,27600,TRAIN,20275438,31300
230,0.00284090909090909091,970,970,FOOT,20257121,45580
206,0.02500000000000000000,3050,3000,CAR,20078462,66990
230,0.00510204081632653061,57580,57600,TRAIN,10033864,73000
20,0.00316455696202531646,930,930,FOOT,10081241,24830
246,0.01020408163265306122,1100,1100,BIKE,10062008,112670
129,0.01020408163265306122,1100,1100,BIKE,10062008,112670
1,0.01234567901234567901,1860,1900,BIKE,20095418,41400
230,0.00278551532033426184,640,640,FOOT,20234761,31050
178,0.00520833333333333333,380,380,FOOT,10065817,21680
152,0.00458715596330275229,1890,1900,BIKE,20269763,19710
184,0.02777777777777777778,580,580,FOOT,20071563,26350
81,0.00301204819277108434,1760,1800,FOOT,20191117,48100
163,0.00473933649289099526,2490,2500,CAR,10074607,22730
142,0.00444444444444444444,830,830,BIKE,20269919,11790
22,0.00523560209424083770,1420,1400,FOOT,10038951,18330
