poi_id,weight,infra_distance,observed_distance,trip_mode,tracker_id,journey_distance
14,0.00383141762452107280,1680,1700,BOAT,20045498,68820
14,0.00383141762452107280,450,450,FOOT,20045498,68820
14,0.00383141762452107280,450,450,FOOT,20045498,68820
27,0.00552486187845303867,590,590,FOOT,10046109,40090
29,0.00316455696202531646,760,760,TRAIN,10041764,760
31,0.00276243093922651934,970,970,FOOT,10022869,115070
29,0.00568181818181818182,2870,2900,FOOT,20024384,70890
29,0.00490196078431372549,20100,20100,TRAIN,20020993,121400
29,0.02941176470588235294,3390,3400,CAR,20290903,93200
75,0.00366300366300366300,3610,3600,TRAM,20042533,38870
73,0.00277777777777777778,5310,5300,CAR,20101178,121550
29,0.00277777777777777778,5310,5300,CAR,20101178,121550
73,0.00277777777777777778,8230,8200,TRAIN,20101178,121550
29,0.00277777777777777778,8230,8200,TRAIN,20101178,121550
25,0.00520833333333333333,3260,3300,BIKE,10065817,23100
77,0.01851851851851851852,580,580,FOOT,10004937,84900
31,0.00510204081632653061,910,910,FOOT,10059948,101840
31,0.00819672131147540984,1050,1000,FOOT,20099537,111350
73,0.00390625000000000000,8080,8100,TRAIN,20134006,12570
29,0.00390625000000000000,8080,8100,TRAIN,20134006,12570
77,0.00564971751412429379,1510,1500,FOOT,20244458,127100
77,0.00393700787401574803,390,390,BIKE,10037604,31890
31,0.00367647058823529412,900,900,FOOT,10001394,144980
50,0.07692307692307692308,1920,1900,FOOT,20226986,30480
75,0.00348432055749128920,3700,3700,TRAM,20197370,32000
29,0.00628930817610062893,470,470,FOOT,10039352,17470
41,0.00568181818181818182,2000,2000,FOOT,10028390,59200
31,0.00425531914893617021,760,760,FOOT,20275914,63660
77,0.00308641975308641975,500,500,FOOT,20229020,50500
53,0.00321543408360128617,10500,10500,TRAIN,10084763,10500
11,0.00487804878048780488,1560,1600,FOOT,10014498,49310
18,0.00284090909090909091,3110,3100,FOOT,10026556,61400
29,0.00632911392405063291,1460,1500,FOOT,20289672,26000
42,0.00632911392405063291,860,860,FOOT,20289672,109260
48,0.00632911392405063291,860,860,FOOT,20289672,109260
69,0.00353356890459363958,760,760,FOOT,20235715,20630
77,0.00869565217391304348,3450,3400,BIKE,20027989,33800
31,0.00320512820512820513,1180,1200,FOOT,20276059,71900
77,0.00320512820512820513,2780,2800,FOOT,10003973,61940
71,0.00900900900900900901,550,550,CAR,20008647,12150
31,0.01136363636363636364,1120,1100,FOOT,20083056,26850
76,0.00338983050847457627,880,880,FOOT,20018196,20080
22,0.02564102564102564103,930,930,FOOT,20290863,39930
55,0.00396825396825396825,1780,1800,FOOT,20009422,93080
1,0.03448275862068965517,950,950,BIKE,20235073,58550
29,0.00353356890459363958,8200,8200,TRAIN,20235715,34200
41,0.00369003690036900369,1490,1500,FOOT,20119146,102800
53,0.00333333333333333333,7960,8000,TRAIN,20032434,18600
11,0.01162790697674418605,1590,1600,FOOT,20029555,23300
49,0.00366300366300366300,1150,1200,FOOT,10044008,98700
29,0.00296735905044510386,8080,8100,TRAIN,10059812,86800
38,0.01785714285714285714,115650,115600,TRAIN,20241727,145400
31,0.01075268817204301075,340,340,FOOT,20234995,19390
31,0.00769230769230769231,910,910,FOOT,20101783,42310
77,0.00284090909090909091,3020,3000,BIKE,20277962,63680
29,0.00406504065040650407,930,930,BIKE,20265344,83430
77,0.00512820512820512821,430,430,FOOT,10064381,60230
77,0.00343642611683848797,3170,3200,UNKNOWN,10083937,52270
31,0.00276243093922651934,1120,1100,FOOT,10022869,113900
42,0.00662251655629139073,830,830,FERRY,20294251,73490
48,0.00662251655629139073,830,830,FERRY,20294251,73490
1,0.03448275862068965517,920,920,FOOT,20235073,52880
73,0.00310559006211180124,8130,8100,TRAIN,20273454,62160
