poi_id,weight,infra_distance,observed_distance,trip_mode,tracker_id,journey_distance
25,0.00390625000000000000,1150,1200,FOOT,20056588,44100
1,0.00362318840579710145,4450,4400,BIKE,20173254,40490
25,0.00310559006211180124,30570,30600,TRAIN,10071510,224120
25,0.00389105058365758755,680,680,FOOT,10040830,149980
5,0.00284090909090909091,1290,1300,FOOT,20278879,23200
5,0.00280898876404494382,1080,1100,FOOT,20227634,82700
36,0.00331125827814569536,19250,19200,TRAIN,20205936,30400
2,0.00900900900900900901,500,500,FOOT,20293463,31600
1,0.00292397660818713450,3500,3500,CAR,10006641,56290
12,0.00275482093663911846,7140,7100,TRAIN,20252234,22900
5,0.00574712643678160920,1220,1200,FOOT,10012762,58800
36,0.00684931506849315068,360,360,FOOT,10086522,74960
36,0.00331125827814569536,2360,2400,BUS,20205936,23240
25,0.00305810397553516820,540,540,FOOT,20270322,10840
5,0.00281690140845070423,1400,1400,FOOT,20273819,319600
36,0.00331125827814569536,1780,1800,FOOT,20205936,22800
14,0.00313479623824451411,790,790,FOOT,20130972,35170
20,0.00326797385620915033,6150,6200,METRO,20035725,20700
36,0.00331125827814569536,4330,4300,TRAIN,20205936,31440
1,0.00729927007299270073,1880,1900,FOOT,10013150,8200
5,0.00549450549450549451,1220,1200,FOOT,20085099,32130
1,0.00393700787401574803,3650,3600,CAR,20267790,14400
25,0.00332225913621262458,690,690,FOOT,20022934,14010
25,0.00310559006211180124,890,890,FOOT,10071510,215710
33,0.00303030303030303030,3290,3300,CAR,10076197,63920
12,0.00275482093663911846,380,380,FOOT,20252234,6080
5,0.00537634408602150538,14730,14700,CAR,20020999,43300
1,0.00729927007299270073,1840,1800,FOOT,10013150,8300
25,0.00609756097560975610,840,840,FOOT,10046241,78070
5,0.00304878048780487805,1420,1400,FOOT,20234860,88100
2,0.00900900900900900901,440,440,FOOT,20293463,30540
7,0.00980392156862745098,380,380,FOOT,20010242,96980
2,0.00900900900900900901,440,440,FOOT,20293463,37240
25,0.00869565217391304348,660,660,FOOT,10058306,63460
25,0.00387596899224806202,580,580,FOOT,20213004,141440
25,0.00366300366300366300,540,540,FOOT,20277281,221980
5,0.00341296928327645051,1990,2000,FOOT,20286228,252600
33,0.00283286118980169972,3410,3400,CAR,20246323,111600
9,0.00840336134453781513,2660,2700,FOOT,10015339,19600
5,0.00800000000000000000,1340,1300,CAR,20091749,139080
25,0.00293255131964809384,1190,1200,FOOT,10013840,59500
12,0.00353356890459363958,14760,14800,TRAIN,20272987,106500
2,0.00900900900900900901,440,440,FOOT,20293463,37640
21,0.00375939849624060150,400,400,FOOT,20259925,67300
2,0.00900900900900900901,440,440,BIKE,20293463,30540
7,0.00800000000000000000,630,630,BIKE,20238080,139630
2,0.00900900900900900901,440,440,FOOT,20293463,37040
5,0.00507614213197969543,1260,1300,FOOT,10054263,16090
5,0.00280112044817927171,1460,1500,FOOT,20170487,17400
5,0.00507614213197969543,950,950,FOOT,10054263,14870
5,0.00507614213197969543,1200,1200,FOOT,10054263,15130
25,0.00294117647058823529,670,670,FOOT,20219550,150770
1,0.00362318840579710145,4200,4200,BIKE,20173254,41520
2,0.00303951367781155015,450,450,FOOT,10039920,34750
12,0.00275482093663911846,8110,8100,CAR,20252234,23900
25,0.00403225806451612903,760,760,FOOT,10051929,75660
25,0.00552486187845303867,1010,1000,FOOT,10060372,44100
25,0.00322580645161290323,580,580,BIKE,20276119,15680
39,0.00370370370370370370,1950,2000,FOOT,20286662,7400
25,0.00450450450450450450,560,560,FOOT,10058987,119020
2,0.00302114803625377644,1930,1900,FOOT,20264959,247360
25,0.00321543408360128617,490,490,FOOT,20252103,40310
5,0.00471698113207547170,1420,1400,FOOT,10027051,17900
5,0.00275482093663911846,890,890,FOOT,20021063,103290
14,0.00362318840579710145,1020,1000,FOOT,10043264,85900
25,0.00413223140495867769,540,540,FOOT,20195439,35140
36,0.00367647058823529412,23420,23400,TRAIN,20228916,31000
